Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #
12,29.99,13213,73,2023,599
13,39.99,27733,83,2014,27733
14,69.99,4440,78,2024,3732
15,19.99,79716,93,2021,382
16,9.99,425116,89,2013,1525
17,9.99,4861,87,2023,349
18,19.99,8638,87,2022,196
19,29.99,2122,77,2021,19
20,19.99,44915,66,2021,140
21,0,535481,91,2017,2675
22,29.99,12128,75,2022,106
23,0,110,64,2006,0
24,0,2556,54,2024,993
25,14.99,1343,67,2022,0
26,29.99,70510,71,2016,309
27,0,4710,67,2023,79
28,19.99,131,77,2022,0
29,19.99,266,88,2023,266
30,29.99,337,70,2023,337
31,29.99,11844,86,2023,193
32,14.99,915,62,2023,10
33,8.99,1566,86,2022,41
34,10.99,67,73,2023,67
35,4.99,2995,95,2003,21
36,29.99,22082,87,2016,125
37,24.99,2978,93,2022,20
38,24.99,286,81,2023,27
39,4.99,34,88,2024,34
40,11.99,210,74,2022,15
41,7.99,71,80,2023,71
42,9.99,9,55,2024,9
1,4.99,75,94,2024,75
2,19.99,6440,95,2015,98
3,0,278,61,2023,37
4,14.99,258,95,2021,30
5,19.99,293,93,2023,22
6,17.99,176,89,2023,34
7,6.99,747,88,2023,18
8,19.99,1082,94,2017,18
9,9.99,480,99,2023,37
10,19.99,649,78,2020,0
11,9.99,1050,95,2022,20
12,11.99,49,89,2024,22
13,6.99,5157,95,2012,32
14,24.99,266,90,2022,0
15,19.99,130,68,2023,130
16,0,328,79,2024,77
17,10.99,1057,93,2016,0
18,7.99,3494,94,2011,0
19,14.99,62,95,2023,62
20,14.99,2814,90,2017,12
21,11.99,418,88,2019,0
22,9.99,342,97,2015,0
23,9.99,657,93,2021,0
24,3.49,3355,94,2014,0
25,0,114,85,2024,31
26,19.99,375,49,2021,0
27,14.99,991,83,2018,0
28,4.99,1087,84,2013,0
29,10,1052,78,2022,0
30,4.99,454,78,2014,0
31,24.99,1373,91,2021,0
32,9.99,24,83,2022,0
33,7.99,1083,86,2016,0
34,2.99,367,96,1985,0
35,4.99,29,75,2015,0
36,14.99,322,84,2019,0
37,5.99,43,81,2023,43
38,10.99,77,77,2023,77
39,5.99,191,89,2022,0
40,2.99,338,83,2022,0
41,4.99,390,89,2015,0
42,5.99,298,84,2023,298
43,19.99,93,66,2022,0
44,24.99,6314,77,2022,0
1,29.99,342,85,2023,32
2,0,5496,79,2023,242
3,4.99,2086,89,2020,11
4,3.99,60,93,2023,13
5,4.99,31003,89,2014,50
6,0,704,83,2023,53
7,14.99,589,86,2020,0
8,5.99,86,96,2023,86
9,5.99,185,90,1995,0
10,9.99,101,74,2016,0
11,4.99,86,74,2022,0
12,14.99,536,81,2022,0
13,5.99,21,95,2023,0
14,7.99,106,85,2019,0
15,9.99,4,25,2023,4
16,6.99,14,50,2022,0
17,14.99,108,82,2020,0
18,2.99,1,100,2020,0
19,7.99,67,92,2023,67
20,6.99,42,95,2020,0
21,4.99,4,100,2024,4
22,1.99,26,73,2021,0
23,4.99,6,100,2023,6
24,1.99,11,100,2020,0
