Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #,Name
34,10.99,67,73,2023,67,poly roam
35,4.99,2995,95,2003,21,alien shooter
36,29.99,22082,87,2016,125,shadow warrior
37,24.99,2978,93,2022,20,nightmare reaper
38,24.99,286,81,2023,27,battle shapers
39,4.99,34,88,2024,34,godsvivors
40,11.99,210,74,2022,15,eargone
41,7.99,71,80,2023,71,survivor mercs
42,9.99,9,55,2024,9,delivery boy
1,4.99,75,94,2024,75,Space Will
2,19.99,6440,95,2015,98,Caves fo Qud
3,0,278,61,2023,37,Supreme Summoner
4,14.99,258,95,2021,30,The Doors of Trithius
5,19.99,293,93,2023,22,Cataclysm Dark Days Ahead
6,17.99,176,89,2023,34,Soulash 2
7,6.99,747,88,2023,18,Endgame of Devil
8,19.99,1082,94,2017,18,Cogmind
9,9.99,480,99,2023,37,Path of Achra
10,19.99,649,78,2020,0,Shiren The Wanderer
11,9.99,1050,95,2022,20,Shattered Pixel Dungeon
12,11.99,49,89,2024,22,Rogue Fable 4
13,6.99,5157,95,2012,32,Tales of Maj'Eyal
14,24.99,266,90,2022,0,Monster Girls & The Mysterious 2
15,19.99,130,68,2023,130,Liberte Join the Revolution
16,0,328,79,2024,77,Monster Tiles TD
17,10.99,1057,93,2016,0,Unreal World
18,7.99,3494,94,2011,0,Dungeons of dredmor
19,14.99,62,95,2023,62,deadnaut signal lost
20,14.99,2814,90,2017,12,low magic age
21,11.99,418,88,2019,0,dredgers
22,9.99,342,97,2015,0,hyperrouge
23,9.99,657,93,2021,0,rogue fable 3
24,3.49,3355,94,2014,0,one way heroics
25,0,114,85,2024,31,summon masters
26,19.99,375,49,2021,0,ultimate adom caverns of chaos
27,14.99,991,83,2018,0,tangledeep
28,4.99,1087,84,2013,0,the pit osmium
29,10,1052,78,2022,0,fateseeker journy
30,4.99,454,78,2014,0,quest of dungeons
31,24.99,1373,91,2021,0,jupiter hell
32,9.99,24,83,2022,0,ampersat
33,7.99,1083,86,2016,0,wayward
34,2.99,367,96,1985,0,rogue
35,4.99,29,75,2015,0,xlarn
36,14.99,322,84,2019,0,rogue empire
37,5.99,43,81,2023,43,the wratch's den
38,10.99,77,77,2023,77,xenoworld the ronde..
39,5.99,191,89,2022,0,zorbus
